ID;Признак;Категория;Вес;Кол-во;Доля;Доля лидеров;Сила;Интерпретация;Решение
R001;Текстовый DSL как основной способ описания диаграммы;Обязательное;5;7;0,58;0,67;4,0;Потенциальный обязательный разрыв;Включить: ядро NotaCode (E2)
R002;Рендер в браузере без установки;Обязательное;5;10;0,83;1,00;4,2;Минимальный рыночный стандарт;Включить: PWA (E4, E5)
R003;Бесплатный уровень доступа;Обязательное;5;10;0,83;1,00;4,0;Минимальный рыночный стандарт;Включить: тариф Free
R004;Экспорт SVG/PNG;Обязательное;5;11;0,92;1,00;4,3;Минимальный рыночный стандарт;Включить в Free (E8)
R005;Документация синтаксиса / база знаний;Обязательное;4;11;0,92;1,00;3,8;Минимальный рыночный стандарт;Включить: вкладка документации по каждой нотации
R006;Шаблоны и примеры диаграмм;Линейное;3;10;0,83;1,00;3,5;Конкурентная норма с влиянием на выбор;Включить: шаблоны по нотациям (E3)
R007;Подсветка синтаксиса и автодополнение;Линейное;4;5;0,42;0,67;3,0;Зона усиления ценности;Включить: Monaco + грамматика DSL (E4)
R008;Интеграция с Git/GitHub;Линейное;4;7;0,58;1,00;3,8;Конкурентная норма с влиянием на выбор;Включить: GitHub-синхронизация (E7)
R009;Интеграция с облачными хранилищами (Google Drive, OneDrive);Линейное;3;3;0,25;0,33;3,5;Зона усиления ценности;Включить Google Drive (E7)
R010;История версий внутри продукта;Линейное;4;4;0,33;0,67;3,3;Зона усиления ценности;Включить: коммиты, 20 версий в Free (E6)
R011;Совместное редактирование в реальном времени;Линейное;3;4;0,33;0,67;3,6;Зона усиления ценности;Отложить: за границей MVP (C-06)
R012;Экспорт в форматы других инструментов;Привлекательное;4;3;0,25;0,33;3,0;Зона дифференциации;Включить: 11 форматов (E8) — дифференциатор
R013;AI-генерация диаграммы по тексту;Привлекательное;5;2;0,17;0,33;3,5;Зона дифференциации;Включить как заглушку/BYOK в MVP (E9)
R014;API/MCP для AI-агентов;Привлекательное;3;1;0,08;0,33;3,0;Зона дифференциации;Отложить: после MVP
R015;Валидация правил нотации с кодом правила и строкой;Привлекательное;5;1;0,08;0,00;3,0;Зона дифференциации;Включить: главный дифференциатор (E3)
R016;Профили IDEF0/IDEF1X/IDEF3/DFD;Привлекательное;5;2;0,17;0,00;2,0;Зона дифференциации;Включить: волны 1–2 (E3)
R017;Сети Петри;Привлекательное;3;0;0,00;0,00;;Зона дифференциации;Включить в волну 3 (E3)
R018;Кросс-подсветка «строка кода ↔ элемент диаграммы»;Привлекательное;4;0;0,00;0,00;;Зона дифференциации;Включить (E5)
R019;Построчный diff версий и откат;Привлекательное;4;0;0,00;0,00;;Зона дифференциации;Включить (E6)
R020;Автоматическая раскладка элементов;Обязательное;4;7;0,58;0,67;4,0;Потенциальный обязательный разрыв;Включить: elkjs (E5)
R021;Русскоязычный интерфейс и документация;Линейное;4;2;0,17;0,33;2,5;Зона усиления ценности;Включить: RU по умолчанию
R022;Прозрачные условия доступа и цены на сайте;Обязательное;4;7;0,58;1,00;4,0;Потенциальный обязательный разрыв;Включить: страница тарифов Free/Pro
R023;Оплата из Беларуси (карта РБ, BYN);Неясное;4;0;0,00;0,00;;Требует проверки;Проверить: провайдер платежей (риск R-24)
R024;Офлайн-работа (desktop/CLI/PWA);Линейное;3;6;0,50;0,67;3,5;Конкурентная норма с влиянием на выбор;Включить: офлайн-черновики PWA
R025;Кастомные темы и иконки;Безразличное;2;7;0,58;1,00;3,0;Не делать при дефиците ресурсов;Не делать при дефиците ресурсов (только светлая/тёмная тема)
R026;SSO и корпоративные функции;Безразличное;2;2;0,17;0,33;3,0;Не делать при дефиците ресурсов;Исключить из MVP
R027;Обязательная регистрация до первого результата;Обратное;3;3;0,25;0,00;;Исключить или проверить риск отторжения;Не копировать: первый результат без регистрации
R028;Исполнение BPMN-процессов;Безразличное;2;1;0,08;0,00;4,0;Не делать при дефиците ресурсов;Сознательно не делать (граница товара)
R029;Мобильный редактор;Неясное;2;;;;;Требует проверки;Проверить опросом S-01
