Практика;Блок;Кол-во;Доля;Статус
Бесплатный доступ к основной функции;потоки доходов;7;0,875;рыночный стандарт
Самостоятельный старт без продажника;каналы;7;0,875;рыночный стандарт
Первый результат без регистрации;каналы;4;0,500;формирующийся стандарт
Открытый исходный код;ключевые ресурсы;4;0,500;формирующийся стандарт
Документация / база знаний;отношения с клиентами;7;0,875;рыночный стандарт
Интеграции с платформами разработки (GitHub, IDE);ключевые партнеры;5;0,625;формирующийся стандарт
Сообщество как канал поддержки;отношения с клиентами;4;0,500;формирующийся стандарт
Платная подписка;потоки доходов;3;0,375;зона дифференциации
Лимиты тарифа как стимул апгрейда;потоки доходов;1;0,125;слабый сигнал
AI-генерация как часть товара;цифровой товар;2;0,250;зона дифференциации
Корпоративные продажи (SSO, по запросу);каналы;2;0,250;зона дифференциации
Сетевой эффект платформы-хоста;данные и сетевые эффекты;1;0,125;слабый сигнал
Строгие нотации IDEF/DFD;цифровой товар;1;0,125;слабый сигнал
