SHEET	07_	H4
Ядро прямой конкуренции; уверенность высокая	https://plantuml.com; SimilarWeb plantuml.com (2026-09-17)
Близкая альтернатива; уверенность высокая	https://mermaid.js.org
Функциональный заменитель; уверенность средняя	https://www.mermaidchart.com; SimilarWeb mermaidchart.com (2026-09-17)
Функциональный заменитель; уверенность высокая	https://www.eraser.io; https://www.eraser.io/diagramgpt; SimilarWeb eraser.io (2026-09-23)
Близкая альтернатива; уверенность высокая	https://d2lang.com; https://d2lang.com/tour/faq/
Функциональный заменитель; уверенность низкая	https://www.gleek.io
Периферия; уверенность средняя	https://structurizr.com
Периферия; уверенность низкая	https://dbdiagram.io
Близкая альтернатива; уверенность высокая	https://www.drawio.com; https://app.diagrams.net; SimilarWeb (2026-09-23)
Функциональный заменитель; уверенность средняя	https://www.lucidchart.com
Периферия; уверенность средняя	https://camunda.com/download/modeler/
Близкая альтернатива; уверенность средняя	🔲 URL сайта Ramus
Функциональный заменитель; уверенность низкая	https://online.visual-paradigm.com
Периферия; уверенность низкая	https://miro.com
Функциональный заменитель; уверенность средняя	https://www.microsoft.com/microsoft-365/visio
Функциональный заменитель; уверенность средняя	https://sparxsystems.com
Периферия; уверенность высокая	https://graphviz.org
Периферия; уверенность высокая	https://kroki.io
Аудиторное пересечение; уверенность средняя	https://chatgpt.com
Периферия; уверенность низкая	https://www.figma.com/figjam/
