ID;Компания;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;СУММПРОИЗВ;Взвешенный балл;Ограничитель;Расчётный уровень;Корректировка;Итоговый уровень;X;Y;Зона;Уверенность
K001;PlantUML;4;4;4;4;3;4;4;1;5;4;375;3,75;Нет;Близкий альтернативный конкурент;Прямой конкурент;Прямой конкурент;4,0;4,0;Ядро прямой конкуренции;высокая
K002;Mermaid (open source);4;3;3;3;3;4;3;1;5;4;325;3,25;Нет;Косвенный конкурент / заменитель;;Косвенный конкурент / заменитель;3,5;3,0;Близкая альтернатива;высокая
K003;Mermaid Chart;4;3;3;3;1;3;1;3;3;4;293;2,93;Нет;Косвенный конкурент / заменитель;;Косвенный конкурент / заменитель;3,5;2,0;Функциональный заменитель;средняя
K004;Eraser (DiagramGPT);4;3;3;4;3;4;2;5;4;3;349;3,49;Нет;Близкий альтернативный конкурент;;Близкий альтернативный конкурент;3,5;2,5;Функциональный заменитель;высокая
K005;D2 (Terrastruct);4;3;3;3;3;3;3;1;3;4;309;3,09;Нет;Косвенный конкурент / заменитель;;Косвенный конкурент / заменитель;3,5;3,0;Близкая альтернатива;высокая
K006;Gleek;4;3;3;4;3;3;2;4;2;2;323;3,23;Нет;Косвенный конкурент / заменитель;;Косвенный конкурент / заменитель;3,5;2,5;Функциональный заменитель;низкая
K007;Structurizr;3;3;2;3;2;2;2;2;3;1;246;2,46;Низкая товарная заменяемость;Смежная или потенциальная конкуренция;;Смежная или потенциальная конкуренция;2,5;2,5;Периферия;средняя
K008;dbdiagram.io;3;3;2;3;3;3;2;4;3;3;282;2,82;Низкая товарная заменяемость;Косвенный конкурент / заменитель;;Косвенный конкурент / заменитель;2,5;2,5;Периферия;низкая
K009;draw.io / diagrams.net;3;4;3;3;3;4;4;1;5;4;327;3,27;Нет;Косвенный конкурент / заменитель;;Косвенный конкурент / заменитель;3,0;4,0;Близкая альтернатива;высокая
K010;Lucidchart;3;3;3;3;2;3;2;3;5;2;290;2,90;Нет;Косвенный конкурент / заменитель;;Косвенный конкурент / заменитель;3,0;2,5;Функциональный заменитель;средняя
K011;Camunda Modeler;3;2;2;2;3;2;2;1;4;3;232;2,32;Низкая товарная заменяемость;Смежная или потенциальная конкуренция;;Смежная или потенциальная конкуренция;2,5;2,0;Периферия;средняя
K012;Ramus (Educational);4;4;3;4;2;2;5;1;2;2;322;3,22;Нет;Косвенный конкурент / заменитель;;Косвенный конкурент / заменитель;3,5;4,5;Близкая альтернатива;средняя
K013;Visual Paradigm Online;3;3;3;3;3;3;2;3;4;2;294;2,94;Нет;Косвенный конкурент / заменитель;;Косвенный конкурент / заменитель;3,0;2,5;Функциональный заменитель;низкая
K014;Miro;1;2;1;1;2;2;2;3;5;1;168;1,68;Низкое совпадение задачи;Смежная или потенциальная конкуренция;;Смежная или потенциальная конкуренция;1,0;2,0;Периферия;низкая
K015;Microsoft Visio;3;2;3;2;1;2;2;1;5;2;235;2,35;Нет;Смежная или потенциальная конкуренция;;Смежная или потенциальная конкуренция;3,0;2,0;Функциональный заменитель;средняя
K016;Sparx Enterprise Architect;3;2;3;2;1;1;3;1;5;2;234;2,34;Нет;Смежная или потенциальная конкуренция;;Смежная или потенциальная конкуренция;3,0;2,5;Функциональный заменитель;средняя
K017;Graphviz;2;2;1;2;3;2;3;1;5;3;205;2,05;Низкое совпадение задачи;Смежная или потенциальная конкуренция;;Смежная или потенциальная конкуренция;1,5;2,5;Периферия;высокая
K018;Kroki;2;2;1;1;3;1;3;1;3;3;179;1,79;Низкое совпадение задачи;Смежная или потенциальная конкуренция;Не конкурент / объект наблюдения;Не конкурент / объект наблюдения;1,5;2,5;Периферия;высокая
K019;AI-ассистенты общего назначения (ChatGPT и др.);2;4;1;2;3;3;2;3;5;2;247;2,47;Низкое совпадение задачи;Смежная или потенциальная конкуренция;;Смежная или потенциальная конкуренция;1,5;3,0;Аудиторное пересечение;средняя
K020;Figma / FigJam;1;2;1;1;2;0;2;3;5;1;152;1,52;Низкое совпадение задачи;Не конкурент / объект наблюдения;;Не конкурент / объект наблюдения;1,0;2,0;Периферия;низкая
