SHEET	10_	A4
Бесплатный доступ к основной функции	потоки доходов	Free-тариф или open source	7				PlantUML, Eraser Free, Mermaid, D2, Gleek Free, draw.io, (Lucidchart 🔲); Ramus — лицензия
Самостоятельный старт без продажника	каналы	Регистрация/вход без заявки	7				Все, кроме Ramus (установка, 🔲)
Первый результат без регистрации	каналы	Редактор доступен сразу	4				PlantUML, Mermaid Live, D2 playground, draw.io
Открытый исходный код	ключевые ресурсы	Лицензия GPL/MIT/MPL/Apache	4				PlantUML, Mermaid, D2, draw.io
Документация / база знаний	отношения с клиентами	Публичная документация синтаксиса	7				Все, кроме Ramus (🔲)
Интеграции с платформами разработки (GitHub, IDE)	ключевые партнеры	GitHub/IDE/Confluence	5				PlantUML, Eraser, Mermaid, D2, draw.io
Сообщество как канал поддержки	отношения с клиентами	Форум, Discord, GitHub	4				PlantUML, Mermaid, D2, draw.io
Платная подписка	потоки доходов	Помесячная/годовая оплата	3				Eraser, Lucidchart (🔲), Gleek (🔲)
Лимиты тарифа как стимул апгрейда	потоки доходов	Лимит AI/версий/диаграмм	1				Eraser (AI 3/40/250, история 90 дней)
AI-генерация как часть товара	цифровой товар	Диаграмма по описанию	2				Eraser, Lucidchart
Корпоративные продажи (SSO, по запросу)	каналы	Enterprise-тариф	2				Eraser, Lucidchart (🔲)
Сетевой эффект платформы-хоста	данные и сетевые эффекты	Рендер внутри чужой платформы	1				Mermaid
Строгие нотации IDEF/DFD	цифровой товар	Профили методологических нотаций	1				Ramus
