ID;Уровень;Признак;Наличие;Сила;Понятность;Влияние;Оценка;Роль
C01;1;Получить UML-диаграмму из текста;1;3;3;5;5,00;Сильный признак
C01;2;Open-source DSL-рендерер (PNG/SVG/ASCII), GPL-3.0;1;3;3;4;4,00;Сильный признак
C01;3;Работа в браузере и локально, плагины IDE;1;3;2;4;3,33;Рабочий признак
C01;4;Расширение браузера для GitHub, большая база примеров;1;2;2;3;2,00;Рабочий признак
C01;5;Публичная дорожная карта;0;0;1;2;0,00;Отсутствует
C02;1;Архитектурные и технические диаграммы по тексту и AI;1;3;3;5;5,00;Сильный признак
C02;2;SaaS: diagram as code + канвас + markdown-заметки;1;3;3;4;4,00;Сильный признак
C02;3;"Интеграции GitHub/Notion/Confluence/VS Code; история версий (90 дней → безлимит)";1;3;3;4;4,00;Сильный признак
C02;4;SSO, API, командные тарифы, usage reporting;1;3;2;3;2,50;Рабочий признак
C02;5;MCP-сервер для AI-агентов, синхронизация с git;1;2;2;4;2,67;Рабочий признак
C03;1;Диаграммы прямо в Markdown-документации;1;3;3;5;5,00;Сильный признак
C03;2;JS-библиотека рендера (MIT);1;3;3;4;4,00;Сильный признак
C03;3;"Нативно в GitHub/GitLab/Notion; Live Editor";1;3;3;4;4,00;Сильный признак
C03;4;Командная работа и AI в Mermaid Chart (тарифы скрыты);1;1;1;3;1,00;Слабый признак
C03;5;Развитие силами сообщества, GitHub Sponsors;1;2;2;2;1,33;Слабый признак
C04;1;Быстро перенести ментальную модель на экран;1;3;3;4;4,00;Сильный признак
C04;2;Open-source язык + CLI (MPL-2.0);1;3;3;4;4,00;Сильный признак
C04;3;3 движка раскладки, экспорт SVG/PNG/PDF/PPTX/GIF/ASCII;1;3;3;4;4,00;Сильный признак
C04;4;Плагины VS Code/Vim, imports/variables, playground;1;3;2;3;2,50;Рабочий признак
C04;5;UML class/sequence как направление расширения;1;2;2;2;1,33;Слабый признак
C05;1;Диаграммы из текста без мыши;1;2;2;4;2,67;Рабочий признак
C05;2;Web-SaaS с собственным DSL (freemium);1;2;2;3;2,00;Рабочий признак
C05;3;UML-подобные, ER, flowchart в веб-редакторе;1;2;2;3;2,00;Рабочий признак
C05;4;Платные функции Pro (🔲 проверить состав);1;1;1;2;0,67;Слабый признак
C05;5;AI-функции;0;0;0;2;0,00;Отсутствует
C06;1;Быстро спроектировать схему БД (допущение);1;3;3;4;4,00;Сильный признак
C06;2;Web-SaaS с DSL DBML (допущение);1;3;3;4;4,00;Сильный признак
C06;3;Экспорт SQL DDL/PNG/PDF, шаринг (🔲);1;2;2;4;2,67;Рабочий признак
C06;4;Командная работа, приватные диаграммы (🔲);1;2;2;3;2,00;Рабочий признак
C06;5;Генерация документации БД (🔲);1;1;1;2;0,67;Слабый признак
C07;1;Профессиональные диаграммы без корпоративной цены;1;3;3;5;5,00;Сильный признак
C07;2;Бесплатный web/desktop-редактор (Apache 2.0);1;3;3;4;4,00;Сильный признак
C07;3;"Без регистрации; хранение на устройстве/Google Drive/OneDrive/GitHub";1;3;3;5;5,00;Сильный признак
C07;4;"Интеграции Confluence/Jira/Teams/VS Code/Notion; фигуры UML/BPMN/AWS";1;3;3;4;4,00;Сильный признак
C07;5;Развитие без венчурных денег, совместимость файлов с 2005 г.;1;2;2;2;1,33;Слабый признак
C08;1;Построение IDEF0/DFD-моделей для учебных задач;1;2;2;4;2,67;Рабочий признак
C08;2;Настольное CASE-приложение;1;2;2;3;2,00;Рабочий признак
C08;3;Декомпозиция IDEF0, отчёты (🔲);1;2;1;3;1,50;Слабый признак
C08;4;Русскоязычный интерфейс, применение в курсах СНГ;1;2;2;3;2,00;Рабочий признак
C08;5;Признаки развития продукта;0;0;1;2;0,00;Отсутствует
C09;1;Визуальная совместная работа над диаграммами;1;3;3;4;4,00;Сильный признак
C09;2;SaaS-редактор по подписке;1;3;3;3;3,00;Рабочий признак
C09;3;Совместное редактирование, шаблоны UML/BPMN/ERD;1;3;2;4;3,33;Рабочий признак
C09;4;AI-генерация диаграммы по описанию;1;2;2;3;2,00;Рабочий признак
C09;5;Корпоративные интеграции (🔲);1;1;1;2;0,67;Слабый признак
C10;1;Диаграммы UML/BPMN/ERD/DFD онлайн (🔲);1;2;2;4;2,67;Рабочий признак
C10;2;Web-SaaS (freemium, 🔲);1;2;2;3;2,00;Рабочий признак
C10;3;Широкий набор нотаций в GUI;1;3;2;4;3,33;Рабочий признак
C10;4;Шаблоны, совместная работа (🔲);1;1;1;2;0,67;Слабый признак
C10;5;Связь с desktop Visual Paradigm (🔲);1;1;1;2;0,67;Слабый признак
C11;1;Архитектура как код (C4);1;3;3;4;4,00;Сильный признак
C11;2;DSL + несколько видов диаграмм из одной модели;1;3;3;4;4,00;Сильный признак
C11;4;Workspace и views, экспорт в git-friendly формат;1;2;2;3;2,00;Рабочий признак
C12;1;Моделирование процессов BPMN 2.0;1;3;3;4;4,00;Сильный признак
C12;2;Бесплатный desktop-моделлер;1;3;3;3;3,00;Рабочий признак
C12;4;BPMN XML, пригодный к исполнению в движке;1;3;3;4;4,00;Сильный признак
C12;5;Исполнение процессов на платформе Camunda;1;2;2;3;2,00;Рабочий признак
