SHEET	04_	A7
R001	Текстовый DSL как основной способ описания диаграммы	Описать диаграмму быстро и воспроизводимо	PlantUML, Eraser, Mermaid, D2, Gleek, dbdiagram.io, Structurizr?; «?» — 🔲 проверить	Обязательное	5	7		4.0		Включить: ядро NotaCode (E2)	Хаджинова К.	
R002	Рендер в браузере без установки	Получить результат сразу	PlantUML, Eraser, Mermaid, D2, Gleek, dbdiagram.io?, draw.io / diagrams.net, Lucidchart, Visual Paradigm Online?, Structurizr?; «?» — 🔲 проверить	Обязательное	5	10		4.2		Включить: PWA (E4, E5)	Хаджинова К.	
R003	Бесплатный уровень доступа	Начать без оплаты	PlantUML, Eraser, Mermaid, D2, Gleek, dbdiagram.io?, draw.io / diagrams.net, Lucidchart?, Visual Paradigm Online?, Camunda Modeler; «?» — 🔲 проверить	Обязательное	5	10		4.0		Включить: тариф Free	Хаджинова К.	
R004	Экспорт SVG/PNG	Вставить диаграмму в отчёт	PlantUML, Eraser, Mermaid, D2, Gleek, dbdiagram.io, draw.io / diagrams.net, Lucidchart?, Visual Paradigm Online?, Structurizr?, Camunda Modeler?; «?» — 🔲 проверить	Обязательное	5	11		4.3		Включить в Free (E8)	Хаджинова К.	
R005	Документация синтаксиса / база знаний	Разобраться без преподавателя	PlantUML, Eraser, Mermaid, D2, Gleek, dbdiagram.io?, draw.io / diagrams.net, Lucidchart?, Visual Paradigm Online?, Structurizr, Camunda Modeler; «?» — 🔲 проверить	Обязательное	4	11		3.8		Включить: вкладка документации по каждой нотации	Хаджинова К.	
R006	Шаблоны и примеры диаграмм	Начать с образца	PlantUML, Eraser, Mermaid, D2, Gleek, dbdiagram.io?, draw.io / diagrams.net, Lucidchart?, Visual Paradigm Online?, Structurizr; «?» — 🔲 проверить	Линейное	3	10		3.5		Включить: шаблоны по нотациям (E3)	Хаджинова К.	
R007	Подсветка синтаксиса и автодополнение	Меньше ошибок при наборе	Eraser, Mermaid, D2, Gleek?, dbdiagram.io?; «?» — 🔲 проверить	Линейное	4	5		3.0		Включить: Monaco + грамматика DSL (E4)	Хаджинова К.	
R008	Интеграция с Git/GitHub	Хранить модель рядом с кодом и требованиями	PlantUML, Eraser, Mermaid, D2, draw.io / diagrams.net, Structurizr, Camunda Modeler	Линейное	4	7		3.8		Включить: GitHub-синхронизация (E7)	Хаджинова К.	
R009	Интеграция с облачными хранилищами (Google Drive, OneDrive)	Хранить файлы привычно	draw.io / diagrams.net, Lucidchart, Visual Paradigm Online?; «?» — 🔲 проверить	Линейное	3	3		3.5		Включить Google Drive (E7)	Хаджинова К.	
R010	История версий внутри продукта	Вернуться к прежнему варианту	Eraser, dbdiagram.io?, draw.io / diagrams.net, Lucidchart; «?» — 🔲 проверить	Линейное	4	4		3.3		Включить: коммиты, 20 версий в Free (E6)	Хаджинова К.	
R011	Совместное редактирование в реальном времени	Работать командой	Eraser, draw.io / diagrams.net, Lucidchart, Visual Paradigm Online?; «?» — 🔲 проверить	Линейное	3	4		3.6		Отложить: за границей MVP (C-06)	Хаджинова К.	
R012	Экспорт в форматы других инструментов	Не зависеть от одного инструмента	dbdiagram.io?, draw.io / diagrams.net, Structurizr?; «?» — 🔲 проверить	Привлекательное	4	3		3.0		Включить: 11 форматов (E8) — дифференциатор	Хаджинова К.	
R013	AI-генерация диаграммы по тексту	Сократить время набора	Eraser, Lucidchart	Привлекательное	5	2		3.5		Включить как заглушку/BYOK в MVP (E9)	Хаджинова К.	
R014	API/MCP для AI-агентов	Встроить в AI-процессы	Eraser	Привлекательное	3	1		3.0		Отложить: после MVP	Хаджинова К.	
R015	Валидация правил нотации с кодом правила и строкой	Сдать диаграмму без замечаний	Camunda Modeler?; «?» — 🔲 проверить	Привлекательное	5	1		3.0		Включить: главный дифференциатор (E3)	Хаджинова К.	
R016	Профили IDEF0/IDEF1X/IDEF3/DFD	Выполнить методологические лабораторные	Ramus, Structurizr?; «?» — 🔲 проверить	Привлекательное	5	2		2.0		Включить: волны 1–2 (E3)	Хаджинова К.	
R017	Сети Петри	Моделировать параллельные процессы	не найдено ни у одного из 12	Привлекательное	3	0				Включить в волну 3 (E3)	Хаджинова К.	
R018	Кросс-подсветка «строка кода ↔ элемент диаграммы»	Быстро найти ошибку	не найдено ни у одного из 12	Привлекательное	4	0				Включить (E5)	Хаджинова К.	
R019	Построчный diff версий и откат	Видеть, что изменилось	не найдено ни у одного из 12	Привлекательное	4	0				Включить (E6)	Хаджинова К.	
R020	Автоматическая раскладка элементов	Не двигать фигуры вручную	PlantUML, Eraser, Mermaid, D2, Gleek, dbdiagram.io, Structurizr?; «?» — 🔲 проверить	Обязательное	4	7		4.0		Включить: elkjs (E5)	Хаджинова К.	
R021	Русскоязычный интерфейс и документация	Работать на родном языке	draw.io / diagrams.net?, Ramus; «?» — 🔲 проверить	Линейное	4	2		2.5		Включить: RU по умолчанию	Хаджинова К.	
R022	Прозрачные условия доступа и цены на сайте	Понять, сколько стоит	PlantUML, Eraser, Mermaid, D2, Gleek?, draw.io / diagrams.net, Camunda Modeler; «?» — 🔲 проверить	Обязательное	4	7		4.0		Включить: страница тарифов Free/Pro	Хаджинова К.	
R023	Оплата из Беларуси (карта РБ, BYN)	Оплатить Pro без зарубежной карты	не найдено ни у одного из 12	Неясное	4	0				Проверить: провайдер платежей (риск R-24)	Хаджинова К.	
R024	Офлайн-работа (desktop/CLI/PWA)	Работать без сети на паре	PlantUML, D2, draw.io / diagrams.net, Ramus, Structurizr, Camunda Modeler	Линейное	3	6		3.5		Включить: офлайн-черновики PWA	Хаджинова К.	
R025	Кастомные темы и иконки	Оформить по вкусу	PlantUML, Eraser, Mermaid, D2, draw.io / diagrams.net, Lucidchart?, Visual Paradigm Online; «?» — 🔲 проверить	Безразличное	2	7		3.0		Не делать при дефиците ресурсов (только светлая/тёмная тема)	Хаджинова К.	
R026	SSO и корпоративные функции	Подключить компанию	Eraser, Lucidchart	Безразличное	2	2		3.0		Исключить из MVP	Хаджинова К.	
R027	Обязательная регистрация до первого результата	—	dbdiagram.io?, Lucidchart, Visual Paradigm Online?; «?» — 🔲 проверить	Обратное	3	3				Не копировать: первый результат без регистрации	Хаджинова К.	
R028	Исполнение BPMN-процессов	Запускать процесс	Camunda Modeler	Безразличное	2	1		4.0		Сознательно не делать (граница товара)	Хаджинова К.	
R029	Мобильный редактор	Правка с телефона	не найдено ни у одного из 12	Неясное	2					Проверить опросом S-01	Хаджинова К.	
