ID;Конкурент;Признак;Редкость;Сила;Ценность;Доказательство;Индекс;Вывод;Сумма 0–35;Статус 0–35
A001;C02;AI-генерация диаграмм + MCP-сервер для агентов;5;4;4;4;4,25;Сильное преимущество;28;Сильное преимущество
A002;C07;Бесплатно, без регистрации и без карты;3;5;5;5;4,50;Сильное преимущество;30;Сильное преимущество
A003;C03;Нативный рендер в GitHub/GitLab/Notion;5;5;4;5;4,70;Сильное преимущество;30;Сильное преимущество
A004;C01;Работа локально и в IDE, «No tracking»;3;4;4;5;3,95;Потенциальное преимущество;26;Сильное преимущество
A005;C04;3 движка раскладки и экспорт в 6 форматов;3;4;3;4;3,45;Потенциальное преимущество;23;Потенциальное преимущество
A006;C07;Интеграции Google/Microsoft/Atlassian/GitHub как канал;3;5;4;4;4,00;Потенциальное преимущество;25;Потенциальное преимущество
A007;C08;IDEF0/DFD на русском в учебных курсах СНГ;4;2;4;2;3,10;Слабое преимущество;24;Потенциальное преимущество
A008;C02;История версий, градуированная по тарифам (90 дней → безлимит);3;3;3;4;3,20;Слабое преимущество;22;Потенциальное преимущество
A009;C11;Одна модель — несколько представлений (C4);4;4;3;3;3,50;Потенциальное преимущество;22;Потенциальное преимущество
A010;C12;Исполнимый BPMN XML;4;4;2;3;3,20;Слабое преимущество;19;Потенциальное преимущество
A011;C02;Цена 15–20 USD/участник/мес;1;2;2;5;2,35;Не считать преимуществом;13;Слабое отличие
