SHEET	05_	C7
Все прямые конкуренты решают «текст → диаграмма» для UML/архитектуры; строгие нотации IDEF/DFD — только графически (Ramus, VPO)	03_Левитт: C01–C04 ур.1; C08 ур.1			Обязательно включить	UML class/sequence, ERD, BPMN, IDEF0, DFD из текста с проверкой правил	Все 14 типов UML, IDEF1X/IDEF3, сети Петри	Без IDEF/DFD NotaCode = ещё один PlantUML	Включить	Базовая выгода — корректность, а не просто картинка
DSL-инструменты ориентированы на разработчиков; студенты методологических курсов обслуживаются устаревшим Ramus	01_Конкуренты: сегменты; SimilarWeb			Обязательно включить	S-01 (Free) — студенты	S-02/S-03 (Pro), S-04 — шаблоны для преподавателей	Размытое позиционирование	Включить	Первичный сегмент — S-01
Родовой товар категории — web-сервис/библиотека DSL → SVG; у графических — web-редактор	03_Левитт ур.2			Обязательно включить	PWA web-IDE (Monaco + SVG-холст)	Офлайн-режим, desktop через PWA	—	Включить	Родовой товар — web-IDE
Норма: DSL, автораскладка, экспорт SVG/PNG, документация, шаблоны (доли 0,58–0,92)	04_Кано R001–R006, R020			Обязательно включить	DSL, elkjs, SVG/PNG, справка, шаблоны	Автодополнение, quick fix	Ниже рыночного стандарта	Включить	Минимальный стандарт
Первый результат без регистрации у PlantUML, Mermaid, D2, draw.io	04_Кано R002, R027; 06 P13			Обязательно включить	Редактор и холст без регистрации, облако — после входа	GitHub/Google вход, PWA офлайн	Отток на шаге регистрации	Включить	Регистрация — только для сохранения в облако
Прямые DSL-конкуренты бесплатны; платный — Eraser 15–20 USD	01_Конкуренты G; архив ЛР2-3			Обязательно включить	Free: 5 проектов, 20 версий, SVG/PNG	Pro 4 USD/мес или 40 USD/год; оплата из РБ	Невозможность оплаты из РБ (R-24)	Проверить	Платёжный провайдер РБ 🔲
Поддержка — документация и сообщество (форумы, Discord)	04_Кано R005; 06 P18–P19			Включить при наличии ресурсов	Вкладка документации, FAQ	Чат/сообщество, видеоуроки	Рост вопросов к автору	Включить	Документация по каждой нотации
Расширение у лидеров — AI (Eraser, Lucidchart) и интеграции	04_Кано R008, R013; 08 A001			Использовать как преимущество	AI-заглушка/BYOK, GitHub	AI с самопроверкой валидатором, MCP	Отставание от Eraser по AI	Включить	AI — после валидатора
Доказательства — открытый код, число пользователей (draw.io 100M+), цитаты; измеримой выгоды почти никто не показывает (P07 ≤ 3)	06 P07, P10			Использовать как преимущество	Примеры «до/после», галерея диаграмм	Замер времени vs draw.io (BO-01 ≥ 40 %)	Недоверие новому продукту	Проверить	Доказательство — замер времени
Потенциал рынка — AI-агенты, git-синхронизация	03_Левитт ур.5			Проверить гипотезу	—	«Изображение → DSL», MCP, маркетплейс шаблонов	—	Отложить	После MVP
Граница: исполнение BPMN (Camunda), совместная работа, enterprise SSO — вне товара	04_Кано R011, R026, R028			Исключить	—	—	Раздувание объёма MVP	Исключить	Сознательные исключения
Цифровой товар NotaCode — это web-IDE «diagram as code» для студентов и аналитиков, которая превращает текст в корректную диаграмму строгой нотации (UML, BPMN, ERD, IDEF0/1X/3, DFD, сети Петри) за счёт единого DSL, валидации правил нотации с кодом ошибки и строкой, автораскладки, версий с diff и экспорта в форматы аналогов	Синтез листов 03–08			Обязательно включить	Минимальный: DSL + 5 нотаций волны 1 + валидация + SVG/PNG + Free	Расширенный: все нотации, AI, 11 форматов экспорта, GitHub/Drive	—	Включить	Формула товара
