Период;PlantUML_Y;PlantUML_T_MA12;PlantUML_Y/T;PlantUML_S;PlantUML_K;PlantUML_Фаза;t2d_Y;t2d_T_MA12;t2d_K
2021-09;16.0;;;0.8853;;;9.0;;
2021-10;20.0;;;0.9923;;;7.0;;
2021-11;21.0;;;1.048;;;10.0;;
2021-12;20.0;;;0.9734;;;8.0;;
2022-01;22.0;;;0.939;;;11.0;;
2022-02;28.0;;;1.0391;;;15.0;;
2022-03;25.0;;;1.1207;;;12.0;;
2022-04;25.0;;;1.0954;;;9.0;;
2022-05;27.0;;;1.0716;;;9.0;;
2022-06;22.0;;;1.043;;;8.0;;
2022-07;26.0;;;0.9691;;;4.0;;
2022-08;22.0;22.833;0.9635;0.8231;1.1706;выше тренда;3.0;8.75;0.5806
2022-09;24.0;23.5;1.0213;0.8853;1.1536;выше тренда;9.0;8.75;0.9876
2022-10;25.0;23.917;1.0453;0.9923;1.0534;норма;7.0;8.75;0.7723
2022-11;28.0;24.5;1.1429;1.048;1.0905;норма;7.0;8.5;0.7722
2022-12;26.0;25.0;1.04;0.9734;1.0685;норма;7.0;8.417;0.7353
2023-01;25.0;25.25;0.9901;0.939;1.0545;норма;7.0;8.083;0.9673
2023-02;33.0;25.667;1.2857;1.0391;1.2373;выше тренда;8.0;7.5;0.9513
2023-03;31.0;26.167;1.1847;1.1207;1.0571;норма;7.0;7.083;0.9239
2023-04;30.0;26.583;1.1285;1.0954;1.0303;норма;9.0;7.083;0.9602
2023-05;31.0;26.917;1.1517;1.0716;1.0747;норма;8.0;7.0;0.9655
2023-06;30.0;27.583;1.0876;1.043;1.0427;норма;7.0;6.917;1.1559
2023-07;33.0;28.167;1.1716;0.9691;1.2089;выше тренда;5.0;7.0;1.0728
2023-08;26.0;28.5;0.9123;0.8231;1.1083;выше тренда;5.0;7.167;1.1815
2023-09;30.0;29.0;1.0345;0.8853;1.1686;выше тренда;8.0;7.083;1.0844
2023-10;34.0;29.75;1.1429;0.9923;1.1517;выше тренда;8.0;7.167;1.0777
2023-11;38.0;30.583;1.2425;1.048;1.1856;выше тренда;8.0;7.25;1.0346
2023-12;34.0;31.25;1.088;0.9734;1.1178;выше тренда;9.0;7.417;1.0728
2024-01;37.0;32.25;1.1473;0.939;1.2219;выше тренда;7.0;7.417;1.0542
2024-02;35.0;32.417;1.0797;1.0391;1.039;норма;9.0;7.5;1.0702
2024-03;46.0;33.667;1.3663;1.1207;1.2192;выше тренда;9.0;7.667;1.0975
2024-04;48.0;35.167;1.3649;1.0954;1.2461;выше тренда;11.0;7.833;1.0612
2024-05;47.0;36.5;1.2877;1.0716;1.2016;выше тренда;10.0;8.0;1.056
2024-06;49.0;38.083;1.2867;1.043;1.2336;выше тренда;6.0;7.917;0.8656
2024-07;40.0;38.667;1.0345;0.9691;1.0674;норма;5.0;7.917;0.9486
2024-08;37.0;39.583;0.9347;0.8231;1.1356;выше тренда;6.0;8.0;1.2701
2024-09;39.0;40.333;0.9669;0.8853;1.0923;норма;8.0;8.0;0.9602
2024-10;50.0;41.667;1.2;0.9923;1.2093;выше тренда;10.0;8.167;1.1822
2024-11;51.0;42.75;1.193;1.048;1.1384;выше тренда;11.0;8.417;1.2254
2024-12;53.0;44.333;1.1955;0.9734;1.2282;выше тренда;12.0;8.667;1.2241
