SHEET	02_	A4
K001		Главная	https://plantuml.com	Цитата: «No server. No tokens. No tracking»; текстовое описание → UML-диаграмма	Товар / задача	5	2026-09-17	Та же задача «текст → UML»	5	Рисунки/scr_05_plantuml_main.png	архив ЛР5 (DiagramCode), снято 2026-09-17
K001		SimilarWeb	https://www.similarweb.com/website/plantuml.com/	≈507 тыс. визитов; Россия — 1-я страна (9,07 %)	Аудитория / география	4	2026-09-17	Русскоязычная аудитория пересекается	4	Рисунки/scr_06_sw_plantuml.png	SimilarWeb, архив ЛР2-3
K001		Загрузка / интеграции	https://plantuml.com	Плагины IntelliJ, VS Code; CLI; расширение браузера для GitHub	Каналы	4	2026-09-17	Тот же путь выбора разработчика/студента (IDE, GitHub)	4	Рисунки/scr_05_plantuml_main.png	архив ЛР5 (DiagramCode), снято 2026-09-17
K001		ЛР1 Google Trends	https://trends.google.com	Беларусь в топ-5 стран по интересу к PlantUML; индекс +231 % за 3 г. 3 мес.	Спрос / поиск	4	2026-09-17	Постоянно присутствует в тех же запросах — основание корректировки	4	из ЛР1	архив ЛР1/ЛР7
K002		Главная / интеграции	https://mermaid.js.org	Нативный рендер в GitHub, GitLab, Notion без плагинов; MIT	Товар / каналы	5	2026-09-17	Сильный канал через платформы документации	5	Рисунки/scr_07_mermaid_main.png	архив ЛР5 (DiagramCode), снято 2026-09-17
K002		Meet the Team	https://mermaid.js.org	Кнопки Sponsor (GitHub Sponsors) — донаты вместо тарифов	Монетизация	4	2026-09-17	Иная логика выручки (C8 = 1)	4	Рисунки/scr_07_mermaid_main.png	архив ЛР5 (DiagramCode), снято 2026-09-17
K003		SimilarWeb	https://www.similarweb.com/website/mermaidchart.com/	< 20 тыс. визитов; Вьетнам 44,98 %, Индонезия 26,27 %, США 15,1 %	География	4	2026-09-17	Русскоязычный сегмент почти не представлен (C7 = 1)	4	Рисунки/scr_08_sw_mermaidchart.png	SimilarWeb, архив ЛР2-3
K003		Тарифы	https://www.mermaidchart.com	Полный прайсинг не показан без регистрации	Цена (отрицательный признак)	2	2026-09-17	C5 = 1, требует проверки	3	🔲 Рисунки/scr_09_mermaidchart_pricing.png	архив ЛР5 (DiagramCode), снято 2026-09-17
K004		Тарифы	https://www.eraser.io	Free 0 (3 AI-диаграммы) / Starter 15 USD год, 20 USD мес (40) / Business 45/60 USD (250) / Enterprise по запросу	Цена / монетизация	5	2026-09-17	Та же форма (freemium + подписка), диапазон выше NotaCode Pro	5	Рисунки/scr_10_eraser_pricing.png	архив ЛР2-3, §4
K004		AI / продукт	https://www.eraser.io/diagramgpt	AI-генерация диаграмм, MCP-сервер для агентов, синхронизация с git	Товар	5	2026-09-17	Ближайший аналог по духу продукта	4	Рисунки/scr_11_eraser_ai.png	00-competitive-analysis.md (VisualDSL), сверено 2026-09-17
K004		SimilarWeb	https://www.similarweb.com/website/eraser.io/	678,5 тыс. визитов; Индия 40,81 %, США 8,61 %; прямые заходы 49,05 %	Аудитория / география	4	2026-09-23	Русскоязычный сегмент не в топ-5 (C7 = 2)	4	Рисунки/scr_12_sw_eraser.png	SimilarWeb, архив ЛР2-3
K005		Главная	https://d2lang.com	«A modern language that turns text to diagrams»; fiscal sponsor Hack Club	Товар / монетизация	5	2026-09-23	Та же идея, без монетизации	5	Рисунки/scr_13_d2_main.png	архив ЛР5 (DiagramCode), снято 2026-09-23
K005		FAQ / экспорт	https://d2lang.com/tour/faq/	3 движка раскладки; экспорт SVG/PNG/PDF/PPTX/GIF/ASCII; плагины VS Code/Vim	Товар / каналы	4	2026-09-23	Архитектурные схемы, UML только class/sequence	4	Рисунки/scr_13_d2_main.png	архив ЛР5 (DiagramCode), снято 2026-09-23
K006		Описание продукта	https://www.gleek.io	Freemium (есть Free); собственный DSL; UML-подобные, ER, flowchart	Товар / монетизация	3	🔲 дата просмотра	Близкая модель доступа	3	🔲 Рисунки/scr_14_gleek_main.png	kursach.md (NotaCode, таблица инструментов)
K006		Тарифы	https://www.gleek.io	🔲 ДОСНЯТЬ: цены и лимиты Free/Pro	Цена	1	🔲 дата просмотра	Уточнить C5	1	🔲 Рисунки/scr_15_gleek_pricing.png	🔲 проверить на сайте
K007		Продукт	https://structurizr.com	DSL только для модели C4 (Context/Container/Component/Code); экспорт в git-friendly формат	Товар	4	2026-09-17	Заменяет малую часть задачи; эталон практики	4	🔲 Рисунки/scr_16_structurizr.png	00-competitive-analysis.md (VisualDSL), сверено 2026-09-17
K008		Главная / тарифы	https://dbdiagram.io	🔲 ДОСНЯТЬ: DBML, экспорт SQL, Free/Pro, аудитория	Товар / цена	1	🔲 дата просмотра	Оценка предварительная (допущение)	1	🔲 Рисунки/scr_17_dbdiagram.png	🔲 проверить на сайте
