SHEET	01_	A4
K001	PlantUML	https://plantuml.com	Международный, EN; РФ — 1-я страна по трафику (9,07 %)	Open-source инструмент diagram as code	Текстовый DSL → UML-диаграммы (PNG/SVG/ASCII); онлайн-сервер, плагины IDE, CLI	Разработчики, студенты, техписатели	Прямой конкурент	Высокий	Хаджинова К.	Проверено	2026-09-17	Источник обнаружения: Категория «diagram as code»; ЛР1 (Беларусь в топ-5 по интересу к PlantUML); SimilarWeb (ЛР2-3)
K002	Mermaid (open source)	https://mermaid.js.org	Международный, EN	Open-source JS-библиотека diagram as code	Markdown-подобный DSL → SVG (flowchart, sequence, class, ER, state, Gantt)	Разработчики, техписатели	Близкий альтернативный конкурент	Высокий	Хаджинова К.	Проверено	2026-09-17	Источник обнаружения: Категория «diagram as code»; нативный рендер в GitHub/GitLab/Notion
K003	Mermaid Chart	https://www.mermaidchart.com	Международный, EN; трафик: Вьетнам 44,98 %, Индонезия 26,27 %, США 15,1 %	Коммерческий SaaS над Mermaid	Web-редактор Mermaid-диаграмм для команд	Команды разработки	Косвенный конкурент / заменитель	Средний	Хаджинова К.	Требует уточнения	2026-09-17	Источник обнаружения: Коммерческий продукт команды Mermaid; SimilarWeb (ЛР2-3)
K004	Eraser (DiagramGPT)	https://www.eraser.io	Международный, EN; трафик: Индия 40,81 %, США 8,61 %	SaaS diagram as code + AI	Diagram as code + AI-генерация + канвас + markdown-заметки	Команды разработки (от Free до Enterprise)	Прямой конкурент	Высокий	Хаджинова К.	Проверено	2026-09-23	Источник обнаружения: Категория «AI diagram», «diagram as code»; SimilarWeb (ЛР2-3)
K005	D2 (Terrastruct)	https://d2lang.com	Международный, EN	Open-source язык диаграмм	Декларативный DSL + CLI, 3 движка раскладки, экспорт SVG/PNG/PDF/PPTX/GIF/ASCII	Разработчики, техписатели	Близкий альтернативный конкурент	Средний	Хаджинова К.	Проверено	2026-09-23	Источник обнаружения: Подборки «Mermaid vs D2 vs Graphviz»
K006	Gleek	https://www.gleek.io	Международный, EN (🔲 проверить наличие RU)	SaaS diagram as code	Собственный текстовый DSL → UML-подобные, ER, flowchart в веб-редакторе	Разработчики, аналитики (🔲 проверить)	Близкий альтернативный конкурент	Средний	Хаджинова К.	Требует уточнения	🔲 дата просмотра	Источник обнаружения: Таблица инструментов kursach.md; «uml online»
K007	Structurizr	https://structurizr.com	Международный, EN	Инструмент «архитектура как код» (C4)	DSL для модели C4 → несколько видов диаграмм из одной модели	Архитекторы ПО (S-03)	Смежная или потенциальная конкуренция	Низкий	Хаджинова К.	Проверено	2026-09-17	Источник обнаружения: Категория «architecture as code»; архив ЛР5 (эталон практик)
K008	dbdiagram.io	https://dbdiagram.io	Международный, EN (🔲 проверить)	SaaS «database as code»	DSL DBML → ER-диаграмма, экспорт SQL DDL (🔲 проверить)	Разработчики БД, студенты курсов БД (🔲 проверить)	Косвенный конкурент / заменитель	Средний	Хаджинова К.	Требует уточнения	🔲 дата просмотра	Источник обнаружения: Запрос «ER диаграмма онлайн по коду» (🔲 зафиксировать выдачу)
K009	draw.io / diagrams.net	https://www.drawio.com	Международный; 🔲 проверить RU-локализацию интерфейса	Бесплатный графический редактор (open source, Apache 2.0)	Web/desktop-редактор диаграмм с библиотеками фигур UML, BPMN, ERD, сетей	Все: студенты, аналитики, разработчики, команды	Косвенный конкурент / заменитель	Высокий	Хаджинова К.	Проверено	2026-09-23	Источник обнаружения: Запрос «редактор диаграмм онлайн»; SimilarWeb app.diagrams.net 7,8 млн визитов (ЛР2-3)
K010	Lucidchart	https://www.lucidchart.com	Международный, EN (🔲 проверить доступность оплаты из РБ)	Коммерческий SaaS-редактор диаграмм	Графический редактор с совместной работой и AI-генерацией по описанию	Бизнес-аналитики, корпоративные команды	Косвенный конкурент / заменитель	Средний	Хаджинова К.	Требует уточнения	2026-09-17	Источник обнаружения: Категория GUI-редакторов (00-competitive-analysis.md)
K011	Camunda Modeler	https://camunda.com/download/modeler/	Международный, EN	Desktop-моделлер BPMN (часть BPM-платформы)	Редактор BPMN 2.0 / DMN с XML и исполнением в движке Camunda	Процессные аналитики, разработчики BPM	Смежная или потенциальная конкуренция	Низкий	Хаджинова К.	Проверено	2026-09-17	Источник обнаружения: Запрос «BPMN редактор» (00-competitive-analysis.md)
K012	Ramus (Educational)	🔲 уточнить официальный URL (ramussoftware.com?)	СНГ, RU	Настольное CASE-средство IDEF0/DFD	Графическое построение моделей IDEF0/DFD (🔲 проверить IDEF3/IDEF1X)	Студенты методологических курсов СНГ (S-01), преподаватели (S-04)	Близкий альтернативный конкурент	Высокий	Хаджинова К.	Требует уточнения	2026-09-17	Источник обнаружения: Методические указания вузов (🔲 ДОСНЯТЬ ссылку), 00-competitive-analysis.md
K013	Visual Paradigm Online	https://online.visual-paradigm.com	Международный, EN (🔲 проверить RU)	SaaS-редактор диаграмм (онлайн-версия CASE Visual Paradigm)	Графические UML, BPMN, ERD, DFD и др. (🔲 проверить перечень)	Студенты, аналитики, архитекторы (🔲 проверить)	Косвенный конкурент / заменитель	Средний	Хаджинова К.	Требует уточнения	🔲 дата просмотра	Источник обнаружения: Запрос «UML онлайн», «DFD онлайн» (🔲 зафиксировать выдачу)
