ID;Единица;ИРП;Решение;Релиз
RU-001;Редактор DSL (Monaco, подсветка, подсказки);3,65;Первый релиз;R1
RU-002;Разбор DSL и диагностика (Language Service);3,25;Кандидат R1/R2;R1
RU-003;Профили нотаций волны 1 с валидацией правил;3,25;Кандидат R1/R2;R1
RU-004;Холст SVG + elkjs, pan/zoom, сетка;3,25;Кандидат R1/R2;R1
RU-005;Кросс-подсветка строка ↔ элемент;2,85;Кандидат R1/R2;R2
RU-006;Terminal/Problems + тосты Error/Warning/OK;3,45;Кандидат R1/R2;R1
RU-007;Шаблоны нотаций (просмотр, копирование);3,55;Первый релиз;R1
RU-008;Вкладка документации (синтаксис + теория);3,05;Кандидат R1/R2;R1
RU-009;AI-ассистент: заглушка + BYOK, 4 режима;2,55;Кандидат R1/R2;R2
RU-010;Вход и регистрация (JWT, OAuth);3,0;Кандидат R1/R2;R1
RU-011;Сохранение в БД аккаунта (лимит Free 5 проектов);3,25;Кандидат R1/R2;R1
RU-012;Сохранение на устройство;3,0;Кандидат R1/R2;R1
RU-013;GitHub: ручной push DSL и экспорта;2,75;Кандидат R1/R2;R1
RU-014;Google Drive: загрузка файлов;1,85;Последующий релиз;R2
RU-015;Экспорт SVG/PNG/XML;3,65;Первый релиз;R1
RU-016;История версий, diff, откат (Free — 20 версий);2,65;Кандидат R1/R2;R1
RU-017;Лендинг (главная);3,55;Первый релиз;R1
RU-018;Страница тарифов + заявка «Хочу Pro» + модалка лимита;3,15;Кандидат R1/R2;R1
RU-019;События аналитики + форма обратной связи;2,9;Кандидат R1/R2;R1
RU-020;Правовые документы (политика, условия);1,65;Последующий релиз;R1
RU-021;Onboarding-тур первого запуска;2,8;Кандидат R1/R2;R2
RU-022;Автоисправление quick fix;2,45;Последующий релиз;R2
RU-023;Undo/redo документа;2,2;Последующий релиз;R2
RU-024;Центр уведомлений (MongoDB) + статусы Socket.IO;1,4;Не включать (гипотеза);R2
RU-025;Оплата Pro через платёжного провайдера РБ;1,95;Последующий релиз;R2
RU-026;Импорт PlantUML/Mermaid/draw.io;1,8;Последующий релиз;R2
RU-027;PWA: офлайн-черновики;1,65;Последующий релиз;R2
RU-028;Интерфейс RU/EN;1,75;Последующий релиз;R3
RU-029;Публичные ссылки и галерея примеров (SEO);2,25;Последующий релиз;R3
RU-030;Кабинет преподавателя: наборы заданий;2,05;Последующий релиз;R3
RU-031;Нотации волны 2 (BPMN, остальные UML, ERD Chen);2,3;Последующий релиз;R3
RU-032;Экспорт всех форматов (BPMN XML, XMI, PNML, draw.io, PlantUML, Mermaid, D2, DOT, SQL DDL) — Pro;2,45;Последующий релиз;R3
RU-033;Реферальная механика «пригласи одногруппника»;1,65;Последующий релиз;R3
RU-034;AI на серверных ключах с квотой (Pro);2,4;Последующий релиз;R4
RU-035;Нотации волны 3 (сети Петри, BPMN choreography/conversation);1,3;Не включать (гипотеза);R4
RU-036;Kroki и альтернативные движки, «Открыть в draw.io»;1,35;Не включать (гипотеза);R4
RU-037;Изображение → DSL (VLM);1,65;Последующий релиз;R4
RU-038;Совместное редактирование в реальном времени;1,1;Не включать (гипотеза);Искл.
