SHEET	07_	A7
S001	Текстовый DSL как основной способ описания диаграммы	04_Кано R001	2. Родовой товар	Обязательное	7		4.0		Диаграмма описывается текстом; текст — первичный источник	Сопоставимость DSL разных нотаций	
S002	Рендер в браузере без установки	04_Кано R002	3. Ожидаемый товар	Обязательное	10		4.2		Первый результат в браузере без установки	Время до первого результата (🔲 замерить)	
S003	Бесплатный уровень доступа	04_Кано R003	3. Ожидаемый товар	Обязательное	10		4.0		Есть бесплатный уровень с полноценным редактором	Лимиты Free у конкурентов	
S004	Экспорт SVG/PNG	04_Кано R004	3. Ожидаемый товар	Обязательное	11		4.3		Экспорт SVG/PNG доступен бесплатно	—	
S005	Документация синтаксиса / база знаний	04_Кано R005	3. Ожидаемый товар	Обязательное	11		3.8		Справка по синтаксису каждой нотации	Полнота документации конкурентов	
S006	Автоматическая раскладка элементов	04_Кано R020	3. Ожидаемый товар	Обязательное	7		4.0		Автоматическая раскладка без ручного перемещения	Качество раскладки сложных схем	
S007	Прозрачные условия доступа и цены на сайте	04_Кано R022	3. Ожидаемый товар	Обязательное	7		4.0		Цена и лимиты раскрыты на сайте до регистрации	Тарифы Gleek, dbdiagram, Lucidchart, VPO	
S008	Шаблоны и примеры диаграмм	04_Кано R006	3. Ожидаемый товар	Линейное	10		3.5		Шаблоны для каждой нотации	—	
S009	Интеграция с Git/GitHub	04_Кано R008	4. Расширенный товар	Линейное	7		3.8		Синхронизация с GitHub	—	
S010	Офлайн-работа (desktop/CLI/PWA)	04_Кано R024	3. Ожидаемый товар	Линейное	6		3.5		Работа без сети (desktop/PWA)	—	
S011	История версий внутри продукта	04_Кано R010	4. Расширенный товар	Линейное	4		3.3		История версий в продукте	—	
S012	Совместное редактирование в реальном времени	04_Кано R011	4. Расширенный товар	Линейное	4		3.6		Совместное редактирование	Значимость для S-01	
S013	Русскоязычный интерфейс и документация	04_Кано R021	3. Ожидаемый товар	Линейное	2		2.5		Русскоязычный интерфейс	RU-локализация draw.io	
S014	AI-генерация диаграммы по тексту	04_Кано R013	5. Потенциальный товар	Привлекательное	2		3.5		AI-генерация по тексту	Готовность платить за AI	
S015	Валидация правил нотации с кодом правила и строкой	04_Кано R015	4. Расширенный товар	Привлекательное	1		3.0		Проверка правил нотации	Наличие линтера у Camunda Modeler	
S016	Профили IDEF0/IDEF1X/IDEF3/DFD	04_Кано R016	4. Расширенный товар	Привлекательное	2		2.0		Профили IDEF/DFD	Нотации VP Online	
S017	Экспорт в форматы других инструментов	04_Кано R012	4. Расширенный товар	Привлекательное	3		3.0		Экспорт в форматы других инструментов	—	
S018	SSO и корпоративные функции	04_Кано R026	4. Расширенный товар	Безразличное	2		3.0		SSO / enterprise	—	
S019	Обязательная регистрация до первого результата	04_Кано R027	3. Ожидаемый товар	Обратное	3				Регистрация до первого результата	Шаги регистрации Lucidchart, VPO	
